gamma,width,depth,w2_std_block25,w2_acc_block25
0.01,128,2,0.7369,0.7332
0.01,128,3,0.7074,0.6721
0.01,128,4,0.68,0.6115
0.01,256,2,0.7394,0.7619
0.01,256,3,0.6738,0.6396
0.01,256,4,0.7471,0.6945
0.01,512,2,0.7154,0.6678
0.01,512,3,0.7248,0.6415
0.01,512,4,0.7896,0.6788
0.02,128,2,0.7309,0.8119
0.02,128,3,0.6575,0.6469
0.02,128,4,0.6196,0.5591
0.02,256,2,0.7424,0.7421
0.02,256,3,0.6246,0.5842
0.02,256,4,0.7062,0.5957
0.02,512,2,0.658,0.6487
0.02,512,3,0.7163,0.5802
0.02,512,4,0.7276,0.5518
0.04,128,2,0.7295,0.8307
0.04,128,3,0.6155,0.6199
0.04,128,4,0.5241,0.5161
0.04,256,2,0.7186,0.69
0.04,256,3,0.6057,0.5525
0.04,256,4,0.6221,0.5033
0.04,512,2,0.6385,0.6432
0.04,512,3,0.6301,0.522
0.04,512,4,0.6242,0.4603
0.08,128,2,0.7112,0.8242
0.08,128,3,0.561,0.5851
0.08,128,4,0.4687,0.4225
0.08,256,2,0.6899,0.6238
0.08,256,3,0.477,0.4612
0.08,256,4,0.495,0.4356
0.08,512,2,0.5727,0.6016
0.08,512,3,0.4945,0.4465
0.08,512,4,0.5363,0.3985
