block,alpha,delta_raw,delta_normalized,w2_z_x1,w2_to_target
1,1.0,0.06119941463175845,0.11231994659439629,0.5448668423317407,0.8119813203811646
2,0.75,0.020683149170910953,0.09929750890755633,0.20829474372984003,0.7749699354171753
3,0.6,0.02741777078822907,0.27981892350807147,0.09798397636762474,0.7496376633644104
4,0.5,0.033511719749814366,0.42601833405533696,0.07866262334489439,0.7359759211540222
5,0.42857142857142855,0.049071282415954244,0.7596359820001891,0.06459841763517467,0.7307214140892029
6,0.375,0.036602710742783366,0.5988623836286141,0.06112040385806336,0.7125226855278015
7,0.3333333333333333,0.04502052156811791,0.642431651105057,0.07007830559200716,0.686972439289093
8,0.3,0.04933011796510815,0.6946304484815379,0.0710163484381426,0.6845647096633911
9,0.2727272727272727,0.10806352146276389,1.06264465699609,0.1016929984556084,0.6612268090248108
10,0.25,0.17935657988389941,1.2100506584117312,0.1482223728709973,0.6382815837860107
11,0.23076923076923078,0.1407236559732877,0.9853595473505727,0.14281452526812613,0.6168583631515503
12,0.21428571428571427,0.29314177751602477,1.7772016856229873,0.1649457008101282,0.6045762300491333
13,0.2,0.2758748701184004,1.4476265351116029,0.19057047064775734,0.5999687910079956
14,0.1875,0.22777180995136187,1.238234810192843,0.18394880201751768,0.5561936497688293
15,0.17647058823529413,0.22973171651833876,1.2402945776082512,0.18522351114470473,0.5471616983413696
16,0.16666666666666666,0.2995644364578695,1.445407485796183,0.20725258406480337,0.5319720506668091
17,0.15789473684210525,0.4502002228522401,1.5044599410553705,0.2992437422670271,0.515059232711792
18,0.15,0.4153273962307451,1.4888842980241952,0.2789520963999016,0.5145314335823059
19,0.14285714285714285,0.3969420264888718,1.7366563061433378,0.22856682988148463,0.4913828372955322
20,0.13636363636363635,0.3389324794758328,1.7393007510981648,0.19486709199765287,0.4871405363082886
21,0.13043478260869565,0.3407360219131309,1.7926447077194005,0.19007448628602747,0.4788420498371124
22,0.125,0.4438857605472795,1.7923812429388186,0.24765142030803497,0.4821206033229828
23,0.12,0.5163343185350143,1.7153598630314102,0.3010064125101659,0.4577423930168152
24,0.11538461538461539,0.45688286899402614,1.6569824171902137,0.275731875156994,0.45140230655670166
25,0.1111111111111111,0.39977044856809363,1.5844141952421988,0.25231435679417363,0.4526766836643219
