seed,d,kappa,theta,block,delta_t,lambda_min_symZ,gap_std,gap_acc
0,2,1.0,0.7853981633974483,1,0.0,0.9395008417069111,0.020564838559572376,0.020564838559572376
0,2,1.0,0.7853981633974483,2,9.651333836700853e-15,0.9559799176293893,0.004969356096848086,0.0049693560968481
0,2,1.0,0.7853981633974483,3,5.1973649179924756e-14,0.9765522168544805,0.0012234475861387772,0.0007761631913999843
0,2,1.0,0.7853981633974483,4,8.006644699638107e-14,0.9926561233184505,0.0003036462742101592,4.697436054432961e-05
0,2,1.0,0.7853981633974483,5,8.570561646403184e-14,0.9978042137456642,7.564332881290856e-05,1.139946076676409e-06
0,2,1.0,0.7853981633974483,6,6.97024559688371e-14,0.9943016124118497,1.8877835128775855e-05,6.3051837428234345e-06
0,2,1.0,0.7853981633974483,7,2.0212029371583358e-13,0.9957722484507702,4.715367099672246e-06,2.74798443800745e-06
0,2,1.0,0.7853981633974483,8,5.95763134843845e-13,0.9983841619755079,1.1783323634114318e-06,3.283409311792985e-07
0,2,1.0,0.7853981633974483,9,5.454274970774303e-13,0.9999106348903092,2.945179975932452e-07,3.50090108873415e-09
0,2,1.0,0.7853981633974483,10,4.540306616862402e-13,0.9995118542931796,7.362137225909091e-08,5.7574638632253974e-08
0,2,1.0,0.7853981633974483,11,1.4671183142411378e-12,0.9995888762801532,1.840432774261817e-08,3.337227846442138e-08
0,2,1.0,0.7853981633974483,12,3.5229049830721077e-12,0.9998239180984447,4.600955108110307e-09,5.0270268752623825e-09
0,2,1.0,0.7853981633974483,13,2.4053603848419407e-12,0.9999742810408718,1.1502228842220794e-09,3.22825466928523e-11
0,2,1.0,0.7853981633974483,14,4.499732535674861e-12,0.9998556485611005,2.649781072898872e-10,9.952639810741553e-10
0,2,1.0,0.7853981633974483,15,7.364482322232067e-12,0.9998757005591586,6.104403168151094e-11,6.610987680140575e-10
0,2,1.0,0.7853981633974483,16,8.095131457832213e-11,0.9999461894201106,1.4063279789891143e-11,1.1211863662268314e-10
0,2,1.0,0.7853981633974483,17,2.4924814716743916e-11,0.9999984686623818,3.239880158073351e-12,4.418316867864308e-13
0,2,1.0,0.7853981633974483,18,3.9747365851092725e-12,0.9999829720626171,7.465175397839431e-13,2.1374410813127537e-11
0,2,1.0,0.7853981633974483,19,1.5020806913903143e-11,0.9999851622908494,1.7200808105354793e-13,1.4147208168901481e-11
0,2,1.0,0.7853981633974483,20,2.5723262065479213e-10,0.999993784674932,3.9616913983413145e-14,2.1556041398790762e-12
0,2,1.0,0.7853981633974483,21,3.3760170920734555e-11,0.9999985304036401,9.156809045180925e-15,4.6720664030490126e-14
0,2,1.0,0.7853981633974483,22,1.3641947885364915e-10,0.9999944415884134,2.1185645061468147e-15,6.564144417835025e-13
0,2,1.0,0.7853981633974483,23,2.4000125750149727e-10,0.9999953408213863,4.980805490546523e-16,4.2959491506728953e-13
0,2,1.0,0.7853981633974483,24,1.0814237754108988e-09,0.9999980757221194,4.843847906124362e-16,6.902269011890186e-14
0,2,1.0,0.7853981633974483,25,8.193987354103866e-11,0.9999998540456883,4.712654926847472e-16,1.1683731764867566e-15
0,2,1.0,0.7853981633974483,26,4.611847404643191e-10,0.9999992830873702,4.618227470548797e-16,1.930279322468167e-14
0,2,1.0,0.7853981633974483,27,5.593507007330253e-10,0.9999994020127256,1.7074029245714872e-16,1.211226706090843e-14
0,2,1.0,0.7853981633974483,28,2.609363153991752e-09,0.9999997649840002,1.121253178240579e-16,1.6584233486212644e-15
0,2,1.0,0.7853981633974483,29,8.571415674284613e-10,1.0000000051401299,5.589004575693353e-17,5.302074003219871e-16
0,2,1.0,0.7853981633974483,30,1.6852416323123266e-09,0.999999662823901,9.485398991358623e-20,1.3148373971421174e-15
0,2,1.0,0.7853981633974483,31,3.45602611743208e-09,0.9999997573699888,1.9484808015357697e-20,7.545597001896984e-16
0,2,1.0,0.7853981633974483,32,2.792721227392567e-09,1.0000000010357089,2.6697577387575747e-21,2.566478521394345e-16
0,2,1.0,0.7853981633974483,33,7.272243676250041e-09,0.9999999638346806,8.991703480586708e-19,2.0032875141768488e-18
0,2,1.0,0.7853981633974483,34,7.964900076382849e-09,0.9999999764951168,2.2624434068848655e-19,1.5953036312970662e-18
0,2,1.0,0.7853981633974483,35,1.7581695052165404e-08,1.0000000061665884,4.099119374900671e-19,1.1805499451198333e-16
0,2,1.0,0.7853981633974483,36,1.2037050229570365e-08,1.0000000063315344,2.344757183615783e-19,2.3042310700982327e-16
0,2,1.0,0.7853981633974483,37,2.1335301769323864e-08,0.9999999140422168,1.2453578938200895e-20,1.133386342047665e-16
0,2,1.0,0.7853981633974483,38,3.2999185938541397e-08,0.9999999955290082,6.772799759219337e-20,1.1467959634131577e-19
0,2,1.0,0.7853981633974483,39,4.86236920308363e-09,0.9999999834865981,1.4203828490877746e-20,1.0998067279461642e-18
0,2,1.0,0.7853981633974483,40,1.3172872362524143e-08,0.9999999699402944,7.134339725450951e-20,7.636741312169987e-19
1,2,1.0,0.7853981633974483,1,0.0,0.818768063257562,0.10489315649973535,0.10489315649973535
1,2,1.0,0.7853981633974483,2,2.251524679156377e-15,0.8375998532435746,0.029502208426073623,0.02950220842607354
1,2,1.0,0.7853981633974483,3,1.0846529056837323e-14,0.8950857913707294,0.007883166594437066,0.00522439249229166
1,2,1.0,0.7853981633974483,4,4.7016745047558446e-14,0.9616503441478881,0.002042262248666986,0.0003756870037156905
1,2,1.0,0.7853981633974483,5,9.539223207062724e-15,0.9998942842037044,0.0005200816684720194,3.172944383554718e-06
1,2,1.0,0.7853981633974483,6,4.4387121208028624e-14,0.9996995988537738,0.00013124932140869475,3.8359473424868715e-05
1,2,1.0,0.7853981633974483,7,6.571423079991273e-14,0.9997748311515707,3.296850771594868e-05,1.8627771157088066e-05
1,2,1.0,0.7853981633974483,8,4.776044746906003e-13,0.9999125139171594,8.261812717287858e-06,2.5407258462777083e-06
1,2,1.0,0.7853981633974483,9,1.4773621900126166e-13,0.9997502342929822,2.0678931878855434e-06,4.690276167912443e-09
1,2,1.0,0.7853981633974483,10,1.4469041134769088e-13,0.9976582953210198,5.17278904722026e-07,3.4606219701004744e-07
1,2,1.0,0.7853981633974483,11,3.220439247824529e-13,0.9979504631397781,1.2935796500293398e-07,2.2479964796823324e-07
1,2,1.0,0.7853981633974483,12,2.1875912001913803e-12,0.9990841296856694,3.234427319351958e-08,3.8539797489261455e-08
1,2,1.0,0.7853981633974483,13,5.349273928918603e-13,0.9999988561176065,8.086666302529349e-09,1.2717647417636436e-11
1,2,1.0,0.7853981633974483,14,5.875721998783174e-13,0.9999925270547778,2.021741075002362e-09,5.888704028008751e-09
1,2,1.0,0.7853981633974483,15,1.016245949659194e-12,0.999993450499336,5.27130518915449e-10,4.401824234349623e-09
1,2,1.0,0.7853981633974483,16,6.239199319365672e-11,0.9999969854329754,1.3743868648279913e-10,7.799229331955401e-10
1,2,1.0,0.7853981633974483,17,2.639638668886619e-12,0.9999925550060997,3.5834278380099025e-11,1.5064408166553497e-12
1,2,1.0,0.7853981633974483,18,2.874845373230957e-12,0.9999199280772185,9.343162762155731e-12,1.5714796943015763e-10
1,2,1.0,0.7853981633974483,19,1.469125283928424e-11,0.9999257120296865,2.435989219542651e-12,1.2266672123760925e-10
1,2,1.0,0.7853981633974483,20,5.869459763331681e-10,0.9999645450865253,6.351026801667203e-13,2.545436004512615e-11
1,2,1.0,0.7853981633974483,21,1.9289112581356432e-11,0.9999997604721614,1.6573433035938398e-13,1.0633078350578763e-15
1,2,1.0,0.7853981633974483,22,1.4047793012156102e-11,0.9999996832973891,4.3158187820516487e-14,3.947092777660332e-12
1,2,1.0,0.7853981633974483,23,8.024503615894216e-11,0.9999997210933298,1.1102645027697924e-14,3.116349530555109e-12
1,2,1.0,0.7853981633974483,24,4.637807117040723e-10,0.999999882473585,2.839094806573082e-15,5.720850148543149e-13
1,2,1.0,0.7853981633974483,25,2.041964816506144e-10,0.9999995463563954,7.413537186968975e-16,2.7124168735558037e-15
