arm,d,R,seed,method,blocks_1e-3,final_gap,sup_w2sq,mom_overhead_pct,spectral_gap,mono_violation,max_map_defect,slope_std,slope_acc
quantile-1d,1,2,0,std,34,9.23031535926544e-05,12.10020420963963,0.0,0.2202768064882018,,,,
quantile-1d,1,2,0,acc,13,2.7533572874549606e-05,12.10020420963963,1.146932162568464,,0.0,2.1632147353605704e-16,,
quantile-1d,1,2,1,std,33,9.285699679129067e-05,9.602259221066534,0.0,0.21953518675085573,,,,
quantile-1d,1,2,1,acc,12,1.8757719312478827e-05,9.602259221066534,1.0989308410179213,,0.0,1.125547160513655e-16,,
quantile-1d,1,2,2,std,32,8.413237739679502e-05,8.021538617473837,0.0,0.2190878195069232,,,,
quantile-1d,1,2,2,acc,12,9.889435477861142e-05,8.021538617473837,0.8660339376859878,,0.0,1.1252207177938086e-16,,
quantile-1d,1,2,3,std,31,8.339438476734351e-05,6.090355848323227,0.0,0.21801325770653623,,,,
quantile-1d,1,2,3,acc,12,7.765025871342424e-05,6.090355848323227,0.6415643513929571,,0.0,1.1252908786890456e-16,,
quantile-1d,1,2,4,std,34,8.199082148308001e-05,14.422184164018443,0.0,0.22077106952897146,,,,
quantile-1d,1,2,4,acc,13,3.054490551690492e-05,14.422184164018443,1.376514939808651,,0.0,1.125467995589732e-16,,
quantile-1d,1,2,5,std,34,9.312611316869557e-05,12.727157603301796,0.0,0.2203699430884363,,,,
quantile-1d,1,2,5,acc,13,2.644225457149041e-05,12.727157603301796,0.5697001503440873,,0.0,2.161443804381899e-16,,
quantile-1d,1,2,6,std,33,8.586096249674213e-05,10.972223272626817,0.0,0.21992055088734325,,,,
quantile-1d,1,2,6,acc,13,2.4863779349848514e-05,10.972223272626817,0.4524759298465556,,0.0,2.1658083436631147e-16,,
quantile-1d,1,2,7,std,33,8.236385390558709e-05,10.845845793267078,0.0,0.2198094244058704,,,,
quantile-1d,1,2,7,acc,13,2.1957879169809402e-05,10.845845793267078,1.0208188650722203,,0.0,1.1255234649738283e-16,,
quantile-1d,1,2,8,std,32,9.462028942297529e-05,7.60693302697284,0.0,0.21903883394387647,,,,
quantile-1d,1,2,8,acc,12,8.29798359835987e-05,7.60693302697284,1.2417383850491772,,0.0,2.1737787291516308e-16,,
quantile-1d,1,2,9,std,34,8.17829974883999e-05,14.177315928846555,0.0,0.22074449018654668,,,,
quantile-1d,1,2,9,acc,13,3.094515564772138e-05,14.177315928846555,0.35412164267641516,,0.0,2.1857709251029234e-16,,
